0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-614.38,102.21795,37.309868,5.349737,17.766027,13.793852,8.326357,13.171243,13.6350765,10.273081,6.0793533,12.697617,1.4719707,5.3787394,1.6805168,5.203906,0.784883,2.3021586,-0.70127654,-0.6825955,0.2427852,-0.16555364,-0.44054362,0.8813787,-0.005206476,1.2871082,-2.7575278,-1.957953,-1.2018437,-0.7692257,-0.6343283,4.616926,0.16087514,2.2566774,2.0195918,1.5093127,1.0452915,2.4075313,-1.4150941,0.78393555
-608.43494,101.34703,36.576385,7.7115364,17.040516,10.42429,7.711912,14.166146,10.942012,10.139529,9.646414,11.759943,-1.1016892,3.981135,3.0835166,4.190772,-1.0693095,3.5998805,-0.84852904,-1.7612121,-0.31984815,0.6916744,-1.3794935,0.4488866,0.49310437,0.21669188,-1.5640613,-0.92884344,-1.4165055,0.3330167,1.5827223,3.5513742,-0.031246992,2.7574048,0.13363108,0.63423675,0.0035094551,0.7920276,-1.4613718,-0.37734163
-586.0093,85.90335,37.89541,9.859129,14.983537,13.6037,6.636165,13.0229,8.6364355,11.05554,7.65232,10.408955,-0.015121504,3.1640067,3.09692,4.9033403,-1.5736077,1.754395,1.102725,-2.796057,-1.7804365,1.092333,-1.223188,-0.33438587,0.8080018,0.8006705,-2.4664614,-0.36969674,-3.153033,0.17015478,2.7837737,2.9906983,-0.3716513,2.06623,0.63199586,-0.33553287,0.30773652,2.6616023,-1.1390352,-1.5815233
-589.5312,88.00612,36.16504,12.208745,13.097847,12.271667,9.312803,12.266634,11.451178,10.502338,9.174108,9.436884,1.7888604,2.7921257,3.3730073,4.7692304,-0.18458986,2.5762002,0.5832653,-2.9990087,-0.84424216,0.5394387,-1.5431277,-0.16128732,0.041954238,-0.44373205,-0.37815335,-1.7176372,-3.187616,0.68161947,2.1670725,1.9740728,1.3904108,2.517821,0.36857167,-0.0032790473,0.40895352,1.2261143,-0.03758943,-0.8151534
-590.8656,94.59665,32.988342,9.425103,14.1435995,13.778221,8.83181,11.481053,12.308918,10.026907,9.690653,10.063559,0.41462916,3.7560062,4.1905146,4.4553375,-1.6781393,3.3502994,0.62330306,-3.75028,-1.0723745,-0.03728644,-2.1413229,0.37009418,1.0452647,-1.100617,-1.1086063,-0.8820307,-3.3665977,0.23594739,2.6930625,2.7365265,0.91003746,2.4366894,1.1076411,0.6259184,1.183108,2.596874,0.6397783,-2.0130002
-583.07117,88.97429,35.3025,11.666821,12.680087,11.611402,9.049378,14.264359,11.189313,10.5323105,9.911584,8.68369,0.29143783,1.4895945,4.8069844,4.9955077,-2.055619,3.1225193,-0.8474841,-3.8079908,-0.14897639,-0.18510692,-1.5794966,0.69568676,0.9095108,-1.0901433,-0.8928098,-1.7218884,-1.9046608,0.7114031,1.0752314,2.182883,1.7106448,2.3795085,-0.051769003,-0.15713368,-0.31023613,0.3455116,0.13073458,-1.3288615
-579.539,85.95588,34.4826,13.316978,14.509646,11.981355,6.894847,14.307344,9.664791,9.820975,12.379294,9.370964,0.4048936,2.470604,3.9182928,5.0707746,-1.8445371,3.0591471,-1.02217,-3.5046198,0.17385656,-0.683878,-0.047405485,1.5310044,0.9993491,-0.34115115,-0.40536326,-1.8584594,-3.076862,1.4590014,2.2164085,2.5764718,2.0720835,2.1440187,0.49380934,-0.7998493,-0.04505589,1.0280253,-0.7032527,-1.0717137
-582.4477,90.57259,34.75784,10.411866,13.480977,12.463499,6.185281,12.421822,10.323214,9.179039,10.196273,9.141333,-0.112483546,2.033945,3.7953181,3.9138374,-1.5494996,3.3525064,-0.39232823,-3.7322853,-0.26638263,-0.64450115,-1.1790396,0.7737875,-0.553899,-1.4526323,-1.1706753,-1.7902892,-2.7639797,-0.023957692,1.514275,2.693698,1.2354465,1.7195498,0.7620417,0.5072114,0.8695818,1.1246319,0.36486894,-1.8774596
-566.1971,88.4685,35.14408,11.475017,11.967116,10.062116,6.3691154,12.451072,10.277184,9.890011,8.606079,8.740814,-0.0914687,1.1093681,4.0033264,3.832048,-3.0943282,4.562066,0.7201575,-2.7773554,-0.110628694,0.11737443,-1.5398966,0.04851689,0.22941522,-1.8848171,-1.6974554,-2.534277,-3.1870315,0.04610127,0.9680552,1.7817683,0.64127177,2.9264796,0.28064084,0.12628634,-0.23519363,-0.36150646,-0.91280484,-2.9559443
-502.94208,90.25871,26.839924,6.8218093,11.78925,6.1870584,-2.4706254,9.641006,7.6521907,5.2940264,8.802516,10.572704,-4.465219,0.066194706,5.160896,5.354669,-7.4580956,3.5618577,-1.5473014,-6.4564524,-1.9788227,-0.5954481,-2.74658,2.7616622,-0.20337984,-4.296504,-1.8247191,-4.039247,-4.937796,0.9120378,0.36432943,1.1554872,-0.69924223,2.4728768,-1.0771916,-1.1633375,-2.3593726,-0.7357852,-2.046555,-4.4656534
-568.09186,77.26868,38.4691,5.7528825,14.082323,13.101585,5.595395,14.531561,7.982207,10.924385,7.343288,11.655016,-0.8988143,1.9156417,3.7631617,5.251617,-1.9965827,1.9335287,-0.29566288,-3.2690873,-1.7245059,-0.88133687,-1.0329052,0.058843706,-0.4530216,0.045952927,-2.1846316,-2.2511847,-1.6760931,-0.10274741,-1.1134745,2.9530306,1.9542444,0.32059008,0.033693086,1.3093035,-1.5019578,1.9066962,0.15292013,-2.0789356
-554.60156,65.594536,33.656734,17.798975,14.569126,8.5184555,6.3483186,13.138225,11.955008,11.306895,10.626363,8.25732,2.6413867,4.6986256,2.5847874,4.0260606,-0.26060578,4.735943,-0.31479138,-4.1204114,0.22079809,0.17239732,-0.67401147,0.54364157,0.9948517,-1.0378473,-0.59468406,-1.7220958,-2.9552534,0.4129612,2.1068735,2.3373075,1.3194869,3.6524704,1.0509624,0.42663398,-0.79080033,0.4084807,0.41858944,-1.5821135
-549.3157,61.424854,33.652973,16.27008,12.516625,7.632896,4.521977,13.490611,11.581037,10.420433,10.351247,8.29173,2.5693345,4.548515,2.7446423,3.445246,-0.39303422,4.6372485,-1.1010624,-4.4496613,-0.8867409,-0.049521185,-2.1876864,-0.03096163,0.8873772,-0.8715219,-0.69142175,-1.9075676,-3.5592809,-0.0003217172,1.504673,1.4510518,1.5913781,3.0217352,-0.46854442,-0.74217707,-0.36185506,0.604476,0.43709877,-0.8123911
-555.4813,58.22054,33.010033,18.879953,14.575002,7.8517337,5.5725994,11.682547,11.450739,11.154275,9.541543,8.352525,3.236544,4.9734306,2.1757116,2.9116023,0.15166423,2.8835776,-0.5645725,-2.6351004,-0.71710354,-0.3338127,-0.78799915,0.6267773,0.2725689,-0.80793864,-0.43177003,-1.9274929,-3.5085816,0.06376141,2.0004902,2.3580356,1.6903716,2.7086306,1.1284555,0.055281043,-0.96991277,0.20478825,0.46393514,-0.21500185
-544.2744,60.76438,32.249454,17.317299,13.95349,6.256253,4.9328785,12.583577,10.233899,10.470233,10.648386,9.1207285,2.6697686,4.8369913,1.9165493,3.7298555,-1.2916231,4.3439,-1.4802903,-3.8336666,0.25125393,0.60782695,-0.9709235,0.71104395,0.7782333,-0.81260014,-0.7979523,-1.4603616,-2.3736103,0.19189115,1.4554905,2.4615083,0.6452553,2.59941,0.3016544,-0.7855309,-0.81972265,-0.0030529078,0.70275193,-0.5801463
-557.5859,63.88721,35.702946,17.254019,14.26457,7.316548,3.5755658,12.968226,10.346218,10.225776,10.244184,10.349725,1.3043141,3.5880089,3.370938,1.6992998,-0.19558734,4.3133903,-1.5684664,-4.3853674,0.15961869,0.20018512,-0.85099214,0.23356365,0.3649731,0.78634226,-1.1620302,-1.6079594,-2.6122422,0.5379761,1.1998135,1.8024743,2.0306442,2.9449024,1.0194136,-0.25173768,-0.11556043,0.9952323,-0.31174335,-1.4630382
-572.16284,78.83042,38.03146,14.412316,12.284528,7.81933,5.0619435,12.633971,10.587881,11.140374,8.978166,8.654369,3.2507296,4.507679,1.8298241,2.8321445,0.23903349,3.7161443,-1.2789736,-4.0722084,-1.7316512,2.1301482,-0.18749973,-1.5451645,0.7797181,1.2986293,-2.883118,-2.032099,-2.583126,-1.1260358,1.5078151,1.2886128,0.29521644,2.5926356,0.8117138,-0.50390035,-0.13507469,1.2284377,-0.20355283,-1.1070194
-557.2479,69.430466,35.235203,16.384188,13.070304,6.841825,4.4814644,12.260558,9.07447,10.315036,10.108114,8.740365,2.5592923,4.38585,1.4572513,3.50047,-0.67703414,2.6842413,-1.5297812,-2.8402345,-1.5258577,-1.1273091,-0.2569519,-1.0347123,-0.7441025,0.54974777,-2.404654,-1.9209123,-2.3182328,-0.2532414,1.3777885,2.841687,0.8587373,2.175524,1.3786585,-1.3179554,-0.7670368,1.2284503,-0.5838924,-0.8294998
-548.13,63.807377,34.5686,16.508507,13.910759,8.704031,3.3556187,11.311158,9.57974,12.893549,10.413952,5.8756886,3.130936,6.947244,3.4159703,1.9608688,-1.8175769,3.8684409,-0.5026965,-2.4923422,-2.363792,-0.053359587,0.19814754,1.2929089,1.1318314,-1.746229,-1.4939075,-0.25652155,-3.0335205,-1.961948,1.4705936,3.2108397,2.1888478,2.8732982,-0.18283948,-0.9197605,0.60090506,0.56934357,-1.0320872,-0.8700542
-551.08746,65.20312,34.849102,16.695593,13.945689,6.4351406,2.934114,11.675026,9.978218,11.431757,10.326056,8.615155,3.3969543,4.6648126,3.879008,3.7572284,-1.4518286,4.3400173,-1.4862659,-3.8397775,-1.0998913,1.311024,-0.74004424,-1.7799343,0.29393032,-1.2586682,-2.6806185,-2.2897735,-2.819744,-0.2106379,1.8198695,2.0886478,1.5288739,2.4504802,-0.22050339,-0.49169594,-1.515562,0.09928602,-0.51058954,-1.6043061
-561.02783,73.87988,33.804256,14.803394,13.030344,7.4177184,6.0861287,13.536818,9.830494,12.501878,11.004367,7.2771525,1.7048945,3.8785086,3.2334723,2.4231317,-0.69028676,4.1445146,-2.3817437,-4.173975,-0.91266906,2.3897476,-1.4126773,-0.54949015,2.3079836,-1.263995,-1.9358488,-2.163646,-4.307559,-0.31406963,1.218901,2.2140846,1.8177657,2.969886,0.30932972,-0.8040879,-0.042182192,-0.038929727,-0.8331189,-1.0599529
